#bamPEFragmentSize
Size	Occurrences	Sample
25	2	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
26	11	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
27	4	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
28	5	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
29	8	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
30	8	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
31	18	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
32	25	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
33	41	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
34	57	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
35	111	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
36	120	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
37	115	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
38	124	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
39	153	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
40	238	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
41	375	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
42	428	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
43	309	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
44	288	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
45	261	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
46	243	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
47	163	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
48	170	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
49	202	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
50	258	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
51	377	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
52	432	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
53	315	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
54	271	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
55	244	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
56	217	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
57	180	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
58	174	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
59	174	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
60	183	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
61	217	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
62	228	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
63	208	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
64	212	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
65	197	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
66	200	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
67	182	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
68	130	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
69	147	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
70	154	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
71	172	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
72	179	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
73	201	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
74	193	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
75	194	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
76	172	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
77	148	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
78	147	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
79	115	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
80	105	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
81	124	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
82	165	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
83	198	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
84	176	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
85	170	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
86	144	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
87	140	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
88	93	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
89	122	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
90	102	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
91	107	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
92	134	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
93	127	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
94	143	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
95	141	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
96	112	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
97	106	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
98	110	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
99	95	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
100	71	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
101	84	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
102	94	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
103	100	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
104	99	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
105	131	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
106	123	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
107	94	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
108	98	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
109	102	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
110	81	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
111	73	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
112	78	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
113	92	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
114	102	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
115	98	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
116	104	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
117	95	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
118	77	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/LL_merged.bam
