#bamPEFragmentSize
Size	Occurrences	Sample
24	1	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
26	25	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
27	18	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
28	19	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
29	18	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
30	19	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
31	27	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
32	35	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
33	73	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
34	79	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
35	141	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
36	171	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
37	210	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
38	146	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
39	211	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
40	329	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
41	474	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
42	507	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
43	336	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
44	336	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
45	279	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
46	249	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
47	197	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
48	163	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
49	198	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
50	292	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
51	406	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
52	446	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
53	305	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
54	297	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
55	265	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
56	222	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
57	181	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
58	166	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
59	162	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
60	178	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
61	217	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
62	239	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
63	238	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
64	234	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
65	210	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
66	250	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
67	197	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
68	141	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
69	154	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
70	157	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
71	163	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
72	214	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
73	211	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
74	198	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
75	190	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
76	189	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
77	152	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
78	119	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
79	111	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
80	114	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
81	132	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
82	174	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
83	153	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
84	171	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
85	166	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
86	145	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
87	125	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
88	129	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
89	101	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
90	104	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
91	110	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
92	132	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
93	128	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
94	141	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
95	148	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
96	128	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
97	113	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
98	104	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
99	112	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
100	86	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
101	101	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
102	102	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
103	109	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
104	126	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
105	124	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
106	124	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
107	123	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
108	96	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
109	78	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
110	77	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
111	80	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
112	79	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
113	101	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
114	108	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
115	90	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
116	103	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
117	100	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
118	88	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
119	83	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
120	72	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
121	70	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
122	75	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
123	83	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
124	78	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
125	101	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
126	89	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
127	98	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
128	79	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
129	62	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
130	74	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
131	79	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
132	74	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
133	64	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
134	68	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
135	85	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
136	88	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
137	100	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
138	88	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
139	83	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
140	76	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
141	67	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
142	53	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
143	70	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
144	66	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
145	61	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
146	61	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
147	82	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
148	75	/home/darellplascencia/paper0/data/processed/filtered_v5/holtman_wendeln_2022/PL_merged.bam
