#bamPEFragmentSize
Size	Occurrences	Sample
26	2	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
27	9	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
28	6	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
29	6	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
30	6	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
31	7	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
32	5	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
33	14	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
34	16	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
35	17	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
36	35	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
37	45	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
38	51	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
39	80	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
40	96	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
41	115	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
42	110	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
43	126	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
44	154	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
45	178	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
46	144	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
47	142	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
48	115	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
49	104	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
50	128	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
51	134	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
52	157	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
53	182	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
54	150	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
55	167	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
56	137	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
57	133	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
58	109	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
59	123	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
60	113	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
61	151	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
62	131	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
63	140	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
64	122	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
65	132	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
66	113	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
67	131	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
68	110	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
69	123	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
70	111	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
71	113	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/sham_WT_merged.bam
