#bamPEFragmentSize
Size	Occurrences	Sample
26	2	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
27	6	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
28	5	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
29	8	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
30	9	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
31	5	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
32	10	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
33	11	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
34	15	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
35	31	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
36	46	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
37	66	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
38	49	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
39	90	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
40	117	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
41	147	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
42	149	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
43	160	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
44	172	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
45	189	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
46	190	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
47	173	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
48	163	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
49	185	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
50	213	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
51	191	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
52	194	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
53	212	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
54	199	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
55	188	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
56	170	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
57	162	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
58	129	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
59	125	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
60	138	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
61	159	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
62	154	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
63	141	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
64	137	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
65	142	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
66	128	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
67	125	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
68	125	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
69	105	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
70	116	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
71	112	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
72	104	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
73	128	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
74	119	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
75	110	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
76	107	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
77	113	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
78	92	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
79	93	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
80	102	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
81	107	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
82	93	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
83	93	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
84	95	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
85	87	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
86	99	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
87	93	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
88	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
89	72	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
90	74	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
91	77	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
92	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
93	78	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
94	69	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
95	85	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
96	65	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
97	75	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
98	90	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
99	66	/home/darellplascencia/paper0/data/processed/filtered_v5/zhang_2024/stroke_WT_merged.bam
