cas	state	n_targetable	n_panel	proportion	stability_interval_lower	stability_interval_upper	resamples	seed	interpretation
Un1Cas12f1_TTTR	homeostatic	23	55	0.41818181818181815	0.2909090909090909	0.5454545454545454	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Un1Cas12f1_TTTR	PP_control	28	55	0.509090909090909	0.38181818181818183	0.6363636363636364	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Un1Cas12f1_TTTR	PL_acute_LPS	33	55	0.6	0.4727272727272727	0.7272727272727273	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Un1Cas12f1_TTTR	LL_tolerized	31	55	0.5636363636363636	0.43636363636363634	0.6909090909090909	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Un1Cas12f1_TTTR	sham_WT	31	55	0.5636363636363636	0.43636363636363634	0.6909090909090909	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Un1Cas12f1_TTTR	stroke_WT	36	55	0.6545454545454545	0.5272727272727272	0.7818181818181819	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SaCas9_NNGRRT	homeostatic	25	55	0.45454545454545453	0.32727272727272727	0.5818181818181818	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SaCas9_NNGRRT	PP_control	32	55	0.5818181818181818	0.45454545454545453	0.7090909090909091	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SaCas9_NNGRRT	PL_acute_LPS	37	55	0.6727272727272727	0.5454545454545454	0.8	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SaCas9_NNGRRT	LL_tolerized	35	55	0.6363636363636364	0.509090909090909	0.7636363636363637	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SaCas9_NNGRRT	sham_WT	36	55	0.6545454545454545	0.5272727272727272	0.7818181818181819	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SaCas9_NNGRRT	stroke_WT	39	55	0.7090909090909091	0.5818181818181818	0.8181818181818182	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SpCas9_NGG	homeostatic	31	55	0.5636363636363636	0.43636363636363634	0.6909090909090909	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SpCas9_NGG	PP_control	35	55	0.6363636363636364	0.509090909090909	0.7636363636363637	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SpCas9_NGG	PL_acute_LPS	39	55	0.7090909090909091	0.5818181818181818	0.8363636363636363	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SpCas9_NGG	LL_tolerized	37	55	0.6727272727272727	0.5454545454545454	0.8	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SpCas9_NGG	sham_WT	37	55	0.6727272727272727	0.5454545454545454	0.8	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
SpCas9_NGG	stroke_WT	42	55	0.7636363636363637	0.6545454545454545	0.8727272727272727	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
CjCas9_NNNVRYM	homeostatic	30	55	0.5454545454545454	0.41818181818181815	0.6727272727272727	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
CjCas9_NNNVRYM	PP_control	35	55	0.6363636363636364	0.509090909090909	0.7636363636363637	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
CjCas9_NNNVRYM	PL_acute_LPS	39	55	0.7090909090909091	0.5818181818181818	0.8181818181818182	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
CjCas9_NNNVRYM	LL_tolerized	37	55	0.6727272727272727	0.5454545454545454	0.8	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
CjCas9_NNNVRYM	sham_WT	37	55	0.6727272727272727	0.5454545454545454	0.8	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
CjCas9_NNNVRYM	stroke_WT	42	55	0.7636363636363637	0.6545454545454545	0.8727272727272727	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Nme2Cas9_NNNNCC	homeostatic	30	55	0.5454545454545454	0.41818181818181815	0.6727272727272727	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Nme2Cas9_NNNNCC	PP_control	35	55	0.6363636363636364	0.509090909090909	0.7636363636363637	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Nme2Cas9_NNNNCC	PL_acute_LPS	39	55	0.7090909090909091	0.5818181818181818	0.8181818181818182	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Nme2Cas9_NNNNCC	LL_tolerized	37	55	0.6727272727272727	0.5454545454545454	0.8	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Nme2Cas9_NNNNCC	sham_WT	37	55	0.6727272727272727	0.5454545454545454	0.8	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
Nme2Cas9_NNNNCC	stroke_WT	42	55	0.7636363636363637	0.6545454545454545	0.8727272727272727	10000	1729	percentile interval from resampling the fixed curated panel; not population inference
