scope	metric	state	n_supported_classes	genes	total_genes	percent_genes
genome	sequence_candidate	sequence_window	0	2	21599	0.009260
genome	sequence_candidate	sequence_window	1	6	21599	0.027779
genome	sequence_candidate	sequence_window	2	11	21599	0.050928
genome	sequence_candidate	sequence_window	3	217	21599	1.004676
genome	sequence_candidate	sequence_window	4	1510	21599	6.991064
genome	sequence_candidate	sequence_window	5	19853	21599	91.916292
genome	primary_targetable	LL_tolerized	0	11306	21599	52.345016
genome	primary_targetable	LL_tolerized	1	27	21599	0.125006
genome	primary_targetable	LL_tolerized	2	40	21599	0.185194
genome	primary_targetable	LL_tolerized	3	353	21599	1.634335
genome	primary_targetable	LL_tolerized	4	1741	21599	8.060558
genome	primary_targetable	LL_tolerized	5	8132	21599	37.649891
genome	primary_targetable	PL_acute_LPS	0	11180	21599	51.761656
genome	primary_targetable	PL_acute_LPS	1	34	21599	0.157415
genome	primary_targetable	PL_acute_LPS	2	39	21599	0.180564
genome	primary_targetable	PL_acute_LPS	3	353	21599	1.634335
genome	primary_targetable	PL_acute_LPS	4	1795	21599	8.310570
genome	primary_targetable	PL_acute_LPS	5	8198	21599	37.955461
genome	primary_targetable	PP_control	0	11521	21599	53.340432
genome	primary_targetable	PP_control	1	26	21599	0.120376
genome	primary_targetable	PP_control	2	39	21599	0.180564
genome	primary_targetable	PP_control	3	397	21599	1.838048
genome	primary_targetable	PP_control	4	1846	21599	8.546692
genome	primary_targetable	PP_control	5	7770	21599	35.973888
genome	primary_targetable	homeostatic	0	12695	21599	58.775869
genome	primary_targetable	homeostatic	1	64	21599	0.296310
genome	primary_targetable	homeostatic	2	69	21599	0.319459
genome	primary_targetable	homeostatic	3	593	21599	2.745497
genome	primary_targetable	homeostatic	4	2318	21599	10.731978
genome	primary_targetable	homeostatic	5	5860	21599	27.130886
genome	primary_targetable	sham_WT	0	11464	21599	53.076531
genome	primary_targetable	sham_WT	1	24	21599	0.111116
genome	primary_targetable	sham_WT	2	26	21599	0.120376
genome	primary_targetable	sham_WT	3	276	21599	1.277837
genome	primary_targetable	sham_WT	4	1398	21599	6.472522
genome	primary_targetable	sham_WT	5	8411	21599	38.941618
genome	primary_targetable	stroke_WT	0	10417	21599	48.229085
genome	primary_targetable	stroke_WT	1	39	21599	0.180564
genome	primary_targetable	stroke_WT	2	36	21599	0.166674
genome	primary_targetable	stroke_WT	3	335	21599	1.550998
genome	primary_targetable	stroke_WT	4	1674	21599	7.750359
genome	primary_targetable	stroke_WT	5	9098	21599	42.122320
genome	primary_targetable_any_context	any_context	0	9984	21599	46.224362
genome	primary_targetable_any_context	any_context	1	22	21599	0.101857
genome	primary_targetable_any_context	any_context	2	34	21599	0.157415
genome	primary_targetable_any_context	any_context	3	302	21599	1.398213
genome	primary_targetable_any_context	any_context	4	1582	21599	7.324413
genome	primary_targetable_any_context	any_context	5	9675	21599	44.793740
locked_panel	sequence_candidate	sequence_window	0	0	55	0.000000
locked_panel	sequence_candidate	sequence_window	1	0	55	0.000000
locked_panel	sequence_candidate	sequence_window	2	0	55	0.000000
locked_panel	sequence_candidate	sequence_window	3	2	55	3.636364
locked_panel	sequence_candidate	sequence_window	4	3	55	5.454545
locked_panel	sequence_candidate	sequence_window	5	50	55	90.909091
locked_panel	primary_targetable	LL_tolerized	0	18	55	32.727273
locked_panel	primary_targetable	LL_tolerized	1	0	55	0.000000
locked_panel	primary_targetable	LL_tolerized	2	0	55	0.000000
locked_panel	primary_targetable	LL_tolerized	3	2	55	3.636364
locked_panel	primary_targetable	LL_tolerized	4	4	55	7.272727
locked_panel	primary_targetable	LL_tolerized	5	31	55	56.363636
locked_panel	primary_targetable	PL_acute_LPS	0	16	55	29.090909
locked_panel	primary_targetable	PL_acute_LPS	1	0	55	0.000000
locked_panel	primary_targetable	PL_acute_LPS	2	0	55	0.000000
locked_panel	primary_targetable	PL_acute_LPS	3	2	55	3.636364
locked_panel	primary_targetable	PL_acute_LPS	4	4	55	7.272727
locked_panel	primary_targetable	PL_acute_LPS	5	33	55	60.000000
locked_panel	primary_targetable	PP_control	0	20	55	36.363636
locked_panel	primary_targetable	PP_control	1	0	55	0.000000
locked_panel	primary_targetable	PP_control	2	0	55	0.000000
locked_panel	primary_targetable	PP_control	3	2	55	3.636364
locked_panel	primary_targetable	PP_control	4	6	55	10.909091
locked_panel	primary_targetable	PP_control	5	27	55	49.090909
locked_panel	primary_targetable	homeostatic	0	24	55	43.636364
locked_panel	primary_targetable	homeostatic	1	1	55	1.818182
locked_panel	primary_targetable	homeostatic	2	0	55	0.000000
locked_panel	primary_targetable	homeostatic	3	4	55	7.272727
locked_panel	primary_targetable	homeostatic	4	4	55	7.272727
locked_panel	primary_targetable	homeostatic	5	22	55	40.000000
locked_panel	primary_targetable	sham_WT	0	18	55	32.727273
locked_panel	primary_targetable	sham_WT	1	0	55	0.000000
locked_panel	primary_targetable	sham_WT	2	0	55	0.000000
locked_panel	primary_targetable	sham_WT	3	1	55	1.818182
locked_panel	primary_targetable	sham_WT	4	5	55	9.090909
locked_panel	primary_targetable	sham_WT	5	31	55	56.363636
locked_panel	primary_targetable	stroke_WT	0	13	55	23.636364
locked_panel	primary_targetable	stroke_WT	1	0	55	0.000000
locked_panel	primary_targetable	stroke_WT	2	0	55	0.000000
locked_panel	primary_targetable	stroke_WT	3	2	55	3.636364
locked_panel	primary_targetable	stroke_WT	4	5	55	9.090909
locked_panel	primary_targetable	stroke_WT	5	35	55	63.636364
