mouse_symbol	human_symbol	cas	gse206479_any	gse245522_3of4	gse245522_max_peak_file_support	category
Abca1	ABCA1	Un1Cas12f1_TTTR	True	False	0	gse206479_only_vs_3of4
Abca1	ABCA1	SaCas9_NNGRRT	True	False	0	gse206479_only_vs_3of4
Abca1	ABCA1	SpCas9_NGG	True	False	0	gse206479_only_vs_3of4
Abca1	ABCA1	CjCas9_NNNVRYM	True	False	0	gse206479_only_vs_3of4
Abca1	ABCA1	Nme2Cas9_NNNNCC	True	False	0	gse206479_only_vs_3of4
Abcg1	ABCG1	Un1Cas12f1_TTTR	False	False	0	neither
Abcg1	ABCG1	SaCas9_NNGRRT	False	False	0	neither
Abcg1	ABCG1	SpCas9_NGG	True	False	1	gse206479_only_vs_3of4
Abcg1	ABCG1	CjCas9_NNNVRYM	True	False	1	gse206479_only_vs_3of4
Abcg1	ABCG1	Nme2Cas9_NNNNCC	True	False	1	gse206479_only_vs_3of4
Apoe	APOE	Un1Cas12f1_TTTR	False	False	0	neither
Apoe	APOE	SaCas9_NNGRRT	True	False	0	gse206479_only_vs_3of4
Apoe	APOE	SpCas9_NGG	True	False	0	gse206479_only_vs_3of4
Apoe	APOE	CjCas9_NNNVRYM	True	False	0	gse206479_only_vs_3of4
Apoe	APOE	Nme2Cas9_NNNNCC	True	False	0	gse206479_only_vs_3of4
Arg1	ARG1	Un1Cas12f1_TTTR	False	False	0	neither
Arg1	ARG1	SaCas9_NNGRRT	False	False	0	neither
Arg1	ARG1	SpCas9_NGG	False	False	0	neither
Arg1	ARG1	CjCas9_NNNVRYM	False	False	0	neither
Arg1	ARG1	Nme2Cas9_NNNNCC	False	False	0	neither
Atg5	ATG5	Un1Cas12f1_TTTR	True	True	3	both_gse206479_any_and_gse245522_3of4
Atg5	ATG5	SaCas9_NNGRRT	True	True	4	both_gse206479_any_and_gse245522_3of4
Atg5	ATG5	SpCas9_NGG	True	True	4	both_gse206479_any_and_gse245522_3of4
Atg5	ATG5	CjCas9_NNNVRYM	True	True	4	both_gse206479_any_and_gse245522_3of4
Atg5	ATG5	Nme2Cas9_NNNNCC	True	True	4	both_gse206479_any_and_gse245522_3of4
Atg7	ATG7	Un1Cas12f1_TTTR	True	False	1	gse206479_only_vs_3of4
Atg7	ATG7	SaCas9_NNGRRT	True	True	4	both_gse206479_any_and_gse245522_3of4
Atg7	ATG7	SpCas9_NGG	True	True	4	both_gse206479_any_and_gse245522_3of4
Atg7	ATG7	CjCas9_NNNVRYM	True	True	4	both_gse206479_any_and_gse245522_3of4
Atg7	ATG7	Nme2Cas9_NNNNCC	True	True	4	both_gse206479_any_and_gse245522_3of4
Atp6v1h	ATP6V1H	Un1Cas12f1_TTTR	True	True	4	both_gse206479_any_and_gse245522_3of4
Atp6v1h	ATP6V1H	SaCas9_NNGRRT	True	True	4	both_gse206479_any_and_gse245522_3of4
Atp6v1h	ATP6V1H	SpCas9_NGG	True	True	4	both_gse206479_any_and_gse245522_3of4
Atp6v1h	ATP6V1H	CjCas9_NNNVRYM	True	True	4	both_gse206479_any_and_gse245522_3of4
Atp6v1h	ATP6V1H	Nme2Cas9_NNNNCC	True	True	4	both_gse206479_any_and_gse245522_3of4
Axl	AXL	Un1Cas12f1_TTTR	True	True	4	both_gse206479_any_and_gse245522_3of4
Axl	AXL	SaCas9_NNGRRT	True	True	4	both_gse206479_any_and_gse245522_3of4
Axl	AXL	SpCas9_NGG	True	True	4	both_gse206479_any_and_gse245522_3of4
Axl	AXL	CjCas9_NNNVRYM	True	True	4	both_gse206479_any_and_gse245522_3of4
Axl	AXL	Nme2Cas9_NNNNCC	True	True	4	both_gse206479_any_and_gse245522_3of4
Bdnf	BDNF	Un1Cas12f1_TTTR	False	False	0	neither
Bdnf	BDNF	SaCas9_NNGRRT	False	False	0	neither
Bdnf	BDNF	SpCas9_NGG	False	False	0	neither
Bdnf	BDNF	CjCas9_NNNVRYM	False	False	0	neither
Bdnf	BDNF	Nme2Cas9_NNNNCC	False	False	0	neither
Becn1	BECN1	Un1Cas12f1_TTTR	True	True	3	both_gse206479_any_and_gse245522_3of4
Becn1	BECN1	SaCas9_NNGRRT	True	True	4	both_gse206479_any_and_gse245522_3of4
Becn1	BECN1	SpCas9_NGG	True	True	4	both_gse206479_any_and_gse245522_3of4
Becn1	BECN1	CjCas9_NNNVRYM	True	True	4	both_gse206479_any_and_gse245522_3of4
Becn1	BECN1	Nme2Cas9_NNNNCC	True	True	4	both_gse206479_any_and_gse245522_3of4
Cd36	CD36	Un1Cas12f1_TTTR	False	False	0	neither
Cd36	CD36	SaCas9_NNGRRT	False	False	0	neither
Cd36	CD36	SpCas9_NGG	False	False	0	neither
Cd36	CD36	CjCas9_NNNVRYM	False	False	0	neither
Cd36	CD36	Nme2Cas9_NNNNCC	False	False	0	neither
Csf1	CSF1	Un1Cas12f1_TTTR	True	False	0	gse206479_only_vs_3of4
Csf1	CSF1	SaCas9_NNGRRT	True	False	1	gse206479_only_vs_3of4
Csf1	CSF1	SpCas9_NGG	True	False	2	gse206479_only_vs_3of4
Csf1	CSF1	CjCas9_NNNVRYM	True	False	2	gse206479_only_vs_3of4
Csf1	CSF1	Nme2Cas9_NNNNCC	True	False	1	gse206479_only_vs_3of4
Csf1r	CSF1R	Un1Cas12f1_TTTR	True	True	4	both_gse206479_any_and_gse245522_3of4
Csf1r	CSF1R	SaCas9_NNGRRT	False	False	0	neither
Csf1r	CSF1R	SpCas9_NGG	True	True	4	both_gse206479_any_and_gse245522_3of4
Csf1r	CSF1R	CjCas9_NNNVRYM	True	True	4	both_gse206479_any_and_gse245522_3of4
Csf1r	CSF1R	Nme2Cas9_NNNNCC	True	True	4	both_gse206479_any_and_gse245522_3of4
Ctsb	CTSB	Un1Cas12f1_TTTR	False	False	0	neither
Ctsb	CTSB	SaCas9_NNGRRT	True	False	1	gse206479_only_vs_3of4
Ctsb	CTSB	SpCas9_NGG	True	False	1	gse206479_only_vs_3of4
Ctsb	CTSB	CjCas9_NNNVRYM	True	False	1	gse206479_only_vs_3of4
Ctsb	CTSB	Nme2Cas9_NNNNCC	True	False	1	gse206479_only_vs_3of4
Ctsd	CTSD	Un1Cas12f1_TTTR	False	False	0	neither
Ctsd	CTSD	SaCas9_NNGRRT	True	False	1	gse206479_only_vs_3of4
Ctsd	CTSD	SpCas9_NGG	True	True	3	both_gse206479_any_and_gse245522_3of4
Ctsd	CTSD	CjCas9_NNNVRYM	True	False	1	gse206479_only_vs_3of4
Ctsd	CTSD	Nme2Cas9_NNNNCC	True	False	1	gse206479_only_vs_3of4
Cx3cr1	CX3CR1	Un1Cas12f1_TTTR	False	False	0	neither
Cx3cr1	CX3CR1	SaCas9_NNGRRT	False	False	0	neither
Cx3cr1	CX3CR1	SpCas9_NGG	False	False	1	neither
Cx3cr1	CX3CR1	CjCas9_NNNVRYM	False	False	0	neither
Cx3cr1	CX3CR1	Nme2Cas9_NNNNCC	False	False	1	neither
Dnmt3a	DNMT3A	Un1Cas12f1_TTTR	True	False	1	gse206479_only_vs_3of4
Dnmt3a	DNMT3A	SaCas9_NNGRRT	False	False	0	neither
Dnmt3a	DNMT3A	SpCas9_NGG	True	True	3	both_gse206479_any_and_gse245522_3of4
