cas	support_rule	n_genes	genes_with_passing_pam	genes_targetable	pct_targetable
Un1Cas12f1_TTTR	guide_site_full_in_peak_in_at_least_1_of_4_replicates	53	43	20	37.7
Un1Cas12f1_TTTR	guide_site_full_in_peak_in_at_least_2_of_4_replicates	53	43	17	32.1
Un1Cas12f1_TTTR	guide_site_full_in_peak_in_at_least_3_of_4_replicates	53	43	15	28.3
Un1Cas12f1_TTTR	guide_site_full_in_peak_in_at_least_4_of_4_replicates	53	43	11	20.8
SaCas9_NNGRRT	guide_site_full_in_peak_in_at_least_1_of_4_replicates	53	52	29	54.7
SaCas9_NNGRRT	guide_site_full_in_peak_in_at_least_2_of_4_replicates	53	52	26	49.1
SaCas9_NNGRRT	guide_site_full_in_peak_in_at_least_3_of_4_replicates	53	52	21	39.6
SaCas9_NNGRRT	guide_site_full_in_peak_in_at_least_4_of_4_replicates	53	52	18	34.0
SpCas9_NGG	guide_site_full_in_peak_in_at_least_1_of_4_replicates	53	53	36	67.9
SpCas9_NGG	guide_site_full_in_peak_in_at_least_2_of_4_replicates	53	53	32	60.4
SpCas9_NGG	guide_site_full_in_peak_in_at_least_3_of_4_replicates	53	53	29	54.7
SpCas9_NGG	guide_site_full_in_peak_in_at_least_4_of_4_replicates	53	53	25	47.2
CjCas9_NNNVRYM	guide_site_full_in_peak_in_at_least_1_of_4_replicates	53	53	35	66.0
CjCas9_NNNVRYM	guide_site_full_in_peak_in_at_least_2_of_4_replicates	53	53	30	56.6
CjCas9_NNNVRYM	guide_site_full_in_peak_in_at_least_3_of_4_replicates	53	53	26	49.1
CjCas9_NNNVRYM	guide_site_full_in_peak_in_at_least_4_of_4_replicates	53	53	25	47.2
Nme2Cas9_NNNNCC	guide_site_full_in_peak_in_at_least_1_of_4_replicates	53	53	36	67.9
Nme2Cas9_NNNNCC	guide_site_full_in_peak_in_at_least_2_of_4_replicates	53	53	29	54.7
Nme2Cas9_NNNNCC	guide_site_full_in_peak_in_at_least_3_of_4_replicates	53	53	26	49.1
Nme2Cas9_NNNNCC	guide_site_full_in_peak_in_at_least_4_of_4_replicates	53	53	25	47.2
