cas	context	n_genes	genes_with_passing_pam	pct_genes_with_passing_pam	genes_targetable_strict_full_site_in_peak	pct_targetable_strict_full_site_in_peak	genes_with_promoter_midpoint_peak	genes_with_promoter_any_peak_overlap	total_full_site_supported_guides	total_any_overlap_guides
Un1Cas12f1_TTTR	10K_rep1	53	43	81.1	17	32.1	17	36	28	34
Un1Cas12f1_TTTR	31K_rep2	53	43	81.1	12	22.6	15	31	20	24
Un1Cas12f1_TTTR	100K_rep3	53	43	81.1	17	32.1	15	29	31	37
Un1Cas12f1_TTTR	100K2_rep4	53	43	81.1	17	32.1	22	35	32	40
Un1Cas12f1_TTTR	ANY_GSE245522_replicate	53	43	81.1	20	37.7	NA	NA	NA	NA
Un1Cas12f1_TTTR	ALL_GSE245522_replicates	53	43	81.1	11	20.8	NA	NA	NA	NA
SaCas9_NNGRRT	10K_rep1	53	52	98.1	23	43.4	17	36	71	79
SaCas9_NNGRRT	31K_rep2	53	52	98.1	21	39.6	15	31	53	60
SaCas9_NNGRRT	100K_rep3	53	52	98.1	23	43.4	15	29	65	72
SaCas9_NNGRRT	100K2_rep4	53	52	98.1	28	52.8	22	35	79	84
SaCas9_NNGRRT	ANY_GSE245522_replicate	53	52	98.1	29	54.7	NA	NA	NA	NA
SaCas9_NNGRRT	ALL_GSE245522_replicates	53	52	98.1	19	35.8	NA	NA	NA	NA
SpCas9_NGG	10K_rep1	53	53	100.0	33	62.3	17	36	680	774
SpCas9_NGG	31K_rep2	53	53	100.0	28	52.8	15	31	590	670
SpCas9_NGG	100K_rep3	53	53	100.0	28	52.8	15	29	642	713
SpCas9_NGG	100K2_rep4	53	53	100.0	33	62.3	22	35	808	911
SpCas9_NGG	ANY_GSE245522_replicate	53	53	100.0	36	67.9	NA	NA	NA	NA
SpCas9_NGG	ALL_GSE245522_replicates	53	53	100.0	25	47.2	NA	NA	NA	NA
CjCas9_NNNVRYM	10K_rep1	53	53	100.0	30	56.6	17	36	431	509
CjCas9_NNNVRYM	31K_rep2	53	53	100.0	27	50.9	15	31	376	434
CjCas9_NNNVRYM	100K_rep3	53	53	100.0	27	50.9	15	29	421	482
CjCas9_NNNVRYM	100K2_rep4	53	53	100.0	32	60.4	22	35	531	590
CjCas9_NNNVRYM	ANY_GSE245522_replicate	53	53	100.0	35	66.0	NA	NA	NA	NA
CjCas9_NNNVRYM	ALL_GSE245522_replicates	53	53	100.0	25	47.2	NA	NA	NA	NA
Nme2Cas9_NNNNCC	10K_rep1	53	53	100.0	31	58.5	17	36	508	583
Nme2Cas9_NNNNCC	31K_rep2	53	53	100.0	26	49.1	15	31	420	493
Nme2Cas9_NNNNCC	100K_rep3	53	53	100.0	27	50.9	15	29	475	542
Nme2Cas9_NNNNCC	100K2_rep4	53	53	100.0	32	60.4	22	35	608	680
Nme2Cas9_NNNNCC	ANY_GSE245522_replicate	53	53	100.0	36	67.9	NA	NA	NA	NA
Nme2Cas9_NNNNCC	ALL_GSE245522_replicates	53	53	100.0	25	47.2	NA	NA	NA	NA
