dataset	context	url	local_file	rows	sha256
GENCODE_v19	reference	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_19/gencode.v19.annotation.gtf.gz	reference/gencode.v19.annotation.gtf.gz	NA	9909e8123a40eca090c3f8e501633f7cc65cd6c4adb83b95009745eca3564d70
GSE245522	raw_tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245522/suppl/GSE245522_RAW.tar	raw/GSE245522_RAW.tar	NA	313aa173c70406fe8cf92141226d010dce398c26c5cc99996dd50738df64a98e
GSE206479	WTC11_rest	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206479/suppl/GSE206479_WTC11_rest_idr_optimal_peak.narrowPeak.gz	peaks/gse206479/GSE206479_WTC11_rest_idr_optimal_peak.narrowPeak.gz	138231	f2a4311485fb9b41a2b3b7079f6495008eeb4b8180a2f368707d3ea66ee32868
GSE206479	WTC11_IFNb	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206479/suppl/GSE206479_WTC11_stim_idr_optimal_peak.narrowPeak.gz	peaks/gse206479/GSE206479_WTC11_stim_idr_optimal_peak.narrowPeak.gz	126637	8f57f538bd0681d59713a90d2ee8e8c65fd08fe2061f2a53cce5241ddcd71733
GSE206479	H1_rest	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206479/suppl/GSE206479_H1_rest_idr_optimal_peak.narrowPeak.gz	peaks/gse206479/GSE206479_H1_rest_idr_optimal_peak.narrowPeak.gz	160655	84f73d10ba8c0e425820035c123b48f85303df5ba6b32c5566c024b79e65dc05
GSE206479	H1_IFNb	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206479/suppl/GSE206479_H1_stim_idr_optimal_peak.narrowPeak.gz	peaks/gse206479/GSE206479_H1_stim_idr_optimal_peak.narrowPeak.gz	156794	a8fbb6cd721065190ed3bc762d2020c83fad0a03ea51752b183438ae17ca6624
GSE245522	10K_rep1	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245522/suppl/GSE245522_RAW.tar	peaks/gse245522/GSM7844462_peaks_10K.narrowPeak.gz	109790	dc93b75c7eb153348fd2a4654cbb7422f76d8fc2f232d0838d2bcdedffac7fd4
GSE245522	31K_rep2	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245522/suppl/GSE245522_RAW.tar	peaks/gse245522/GSM7844463_peaks_31K.narrowPeak.gz	73342	0fcfbf71657bd38a1a8667eeacda2a443f2f5d69a7afde29276fdac9ed16b078
GSE245522	100K_rep3	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245522/suppl/GSE245522_RAW.tar	peaks/gse245522/GSM7844464_peaks_100K.narrowPeak.gz	107257	c82a4f82b3ad446675890b53b2622592742d2e7f5770bd5d39fd1990fc05ac94
GSE245522	100K2_rep4	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245522/suppl/GSE245522_RAW.tar	peaks/gse245522/GSM7844465_peaks_100K2.narrowPeak.gz	90687	d4750ae6aab3bd9331187a3f72bbe323bf9e32225af109f1147eb441b3e18c56
