mouse_symbol	human_symbol	mouse_un1_passing_guides	human_un1_passing_guides	mouse_un1_targetable_contexts	human_un1_targetable_contexts	mouse_any_context_targetable	human_any_context_targetable	comparison_category	mouse_promoter_overlap_contexts
Abca1	ABCA1	5	3	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT	WTC11_IFNb;H1_rest;H1_IFNb	True	True	both_mouse_and_human_any_context	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT
Abcg1	ABCG1	4	0	LL_tolerized;PL_acute_LPS;PP_control;sham_WT;stroke_WT	NA	True	False	mouse_only_any_context	LL_tolerized;PL_acute_LPS;PP_control;sham_WT;stroke_WT
Apoe	APOE	3	0	sham_WT;stroke_WT	NA	True	False	mouse_only_any_context	sham_WT;stroke_WT
Arg1	ARG1	2	4	stroke_WT	NA	True	False	mouse_only_any_context	sham_WT;stroke_WT
Atg5	ATG5	6	6	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb	True	True	both_mouse_and_human_any_context	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT
Atg7	ATG7	5	3	NA	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb	False	True	human_only_any_context	NA
Atp6v1h	ATP6V1H	9	6	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb	True	True	both_mouse_and_human_any_context	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT
Axl	AXL	2	2	stroke_WT	H1_IFNb	True	True	both_mouse_and_human_any_context	stroke_WT
Bdnf	BDNF	4	2	NA	NA	False	False	neither_any_context	NA
Becn1	BECN1	8	1	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb	True	True	both_mouse_and_human_any_context	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT
Cd36	CD36	5	10	NA	NA	False	False	neither_any_context	NA
Csf1	CSF1	3	1	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT	WTC11_rest;H1_IFNb	True	True	both_mouse_and_human_any_context	LL_tolerized;PL_acute_LPS;PP_control;homeostatic;sham_WT;stroke_WT
