cas	state	pam_bearing_and_targetable	pam_bearing_not_targetable	targetable_without_pam_check	pam_absent	loss_fraction_among_pam_bearing
Un1Cas12f1_TTTR	homeostatic	23	27	0	5	0.54
Un1Cas12f1_TTTR	PP_control	28	22	0	5	0.44
Un1Cas12f1_TTTR	PL_acute_LPS	33	17	0	5	0.34
Un1Cas12f1_TTTR	LL_tolerized	31	19	0	5	0.38
Un1Cas12f1_TTTR	sham_WT	31	19	0	5	0.38
Un1Cas12f1_TTTR	stroke_WT	36	14	0	5	0.28
SaCas9_NNGRRT	homeostatic	25	28	0	2	0.5283018867924528
SaCas9_NNGRRT	PP_control	32	21	0	2	0.39622641509433965
SaCas9_NNGRRT	PL_acute_LPS	37	16	0	2	0.3018867924528302
SaCas9_NNGRRT	LL_tolerized	35	18	0	2	0.33962264150943394
SaCas9_NNGRRT	sham_WT	36	17	0	2	0.32075471698113206
SaCas9_NNGRRT	stroke_WT	39	14	0	2	0.2641509433962264
SpCas9_NGG	homeostatic	31	24	0	0	0.43636363636363634
SpCas9_NGG	PP_control	35	20	0	0	0.36363636363636365
SpCas9_NGG	PL_acute_LPS	39	16	0	0	0.2909090909090909
SpCas9_NGG	LL_tolerized	37	18	0	0	0.32727272727272727
SpCas9_NGG	sham_WT	37	18	0	0	0.32727272727272727
SpCas9_NGG	stroke_WT	42	13	0	0	0.23636363636363636
CjCas9_NNNVRYM	homeostatic	30	25	0	0	0.45454545454545453
CjCas9_NNNVRYM	PP_control	35	20	0	0	0.36363636363636365
CjCas9_NNNVRYM	PL_acute_LPS	39	16	0	0	0.2909090909090909
CjCas9_NNNVRYM	LL_tolerized	37	18	0	0	0.32727272727272727
CjCas9_NNNVRYM	sham_WT	37	18	0	0	0.32727272727272727
CjCas9_NNNVRYM	stroke_WT	42	13	0	0	0.23636363636363636
Nme2Cas9_NNNNCC	homeostatic	30	25	0	0	0.45454545454545453
Nme2Cas9_NNNNCC	PP_control	35	20	0	0	0.36363636363636365
Nme2Cas9_NNNNCC	PL_acute_LPS	39	16	0	0	0.2909090909090909
Nme2Cas9_NNNNCC	LL_tolerized	37	18	0	0	0.32727272727272727
Nme2Cas9_NNNNCC	sham_WT	37	18	0	0	0.32727272727272727
Nme2Cas9_NNNNCC	stroke_WT	42	13	0	0	0.23636363636363636
