analysis_variant	scope	cas	state	n_targetable	n_total	proportion	delta_vs_primary	n_changed_vs_primary
primary_reproducible_peaks_canonical_tss	therapeutic_panel	Un1Cas12f1_TTTR	homeostatic	23	55	0.41818181818181815	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	Un1Cas12f1_TTTR	PP_control	28	55	0.509090909090909	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	Un1Cas12f1_TTTR	PL_acute_LPS	33	55	0.6	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	Un1Cas12f1_TTTR	LL_tolerized	31	55	0.5636363636363636	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	Un1Cas12f1_TTTR	sham_WT	31	55	0.5636363636363636	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	Un1Cas12f1_TTTR	stroke_WT	36	55	0.6545454545454545	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SaCas9_NNGRRT	homeostatic	25	55	0.45454545454545453	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SaCas9_NNGRRT	PP_control	32	55	0.5818181818181818	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SaCas9_NNGRRT	PL_acute_LPS	37	55	0.6727272727272727	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SaCas9_NNGRRT	LL_tolerized	35	55	0.6363636363636364	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SaCas9_NNGRRT	sham_WT	36	55	0.6545454545454545	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SaCas9_NNGRRT	stroke_WT	39	55	0.7090909090909091	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SpCas9_NGG	homeostatic	31	55	0.5636363636363636	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SpCas9_NGG	PP_control	35	55	0.6363636363636364	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SpCas9_NGG	PL_acute_LPS	39	55	0.7090909090909091	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SpCas9_NGG	LL_tolerized	37	55	0.6727272727272727	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SpCas9_NGG	sham_WT	37	55	0.6727272727272727	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	SpCas9_NGG	stroke_WT	42	55	0.7636363636363637	0.0	0
primary_reproducible_peaks_canonical_tss	therapeutic_panel	CjCas9_NNNVRYM	homeostatic	30	55	0.5454545454545454	0.0	0
