gene	state	primary_reproducible_peaks_canonical_tss	matched_depth_genrich	matched_depth_macs3	appris_principal_tss	legacy_most5_basic_tss	n_variants_targetable	n_variants	unanimous
Tfeb	homeostatic	False	False	False	False	False	0	5	True
Tfeb	PP_control	False	False	False	True	True	2	5	False
Tfeb	PL_acute_LPS	False	False	False	True	True	2	5	False
Tfeb	LL_tolerized	False	False	False	True	True	2	5	False
Tfeb	sham_WT	False	False	False	True	True	2	5	False
Tfeb	stroke_WT	False	False	False	True	True	2	5	False
Tfe3	homeostatic	True	True	True	True	True	5	5	True
Tfe3	PP_control	True	True	True	True	True	5	5	True
Tfe3	PL_acute_LPS	True	True	True	True	True	5	5	True
Tfe3	LL_tolerized	True	True	True	True	True	5	5	True
Tfe3	sham_WT	True	True	True	True	True	5	5	True
Tfe3	stroke_WT	True	True	False	True	True	4	5	False
Lamp1	homeostatic	True	True	False	True	True	4	5	False
Lamp1	PP_control	True	True	True	True	True	5	5	True
Lamp1	PL_acute_LPS	True	True	True	True	True	5	5	True
Lamp1	LL_tolerized	True	True	True	True	True	5	5	True
Lamp1	sham_WT	False	False	False	False	False	0	5	True
Lamp1	stroke_WT	True	True	False	True	True	4	5	False
Lamp2	homeostatic	True	False	True	True	True	4	5	False
Lamp2	PP_control	True	True	True	True	True	5	5	True
Lamp2	PL_acute_LPS	True	True	True	True	True	5	5	True
Lamp2	LL_tolerized	True	True	True	True	True	5	5	True
Lamp2	sham_WT	True	True	True	True	True	5	5	True
Lamp2	stroke_WT	True	True	True	True	True	5	5	True
Ctsd	homeostatic	False	False	False	False	False	0	5	True
Ctsd	PP_control	True	True	False	True	True	4	5	False
Ctsd	PL_acute_LPS	True	True	True	True	True	5	5	True
Ctsd	LL_tolerized	True	True	True	True	True	5	5	True
Ctsd	sham_WT	False	False	True	False	False	1	5	False
Ctsd	stroke_WT	True	True	False	True	True	4	5	False
Ctsb	homeostatic	True	True	True	True	True	5	5	True
Ctsb	PP_control	True	True	True	True	True	5	5	True
Ctsb	PL_acute_LPS	True	True	True	True	True	5	5	True
Ctsb	LL_tolerized	True	True	False	True	True	4	5	False
Ctsb	sham_WT	True	True	False	True	True	4	5	False
Ctsb	stroke_WT	True	True	False	True	True	4	5	False
Mcoln1	homeostatic	True	True	True	True	True	5	5	True
Mcoln1	PP_control	True	True	True	True	True	5	5	True
Mcoln1	PL_acute_LPS	True	True	True	True	True	5	5	True
Mcoln1	LL_tolerized	True	True	True	True	True	5	5	True
Mcoln1	sham_WT	True	True	True	True	True	5	5	True
Mcoln1	stroke_WT	True	True	True	True	True	5	5	True
Atp6v1h	homeostatic	True	True	True	True	False	4	5	False
Atp6v1h	PP_control	True	True	True	True	False	4	5	False
Atp6v1h	PL_acute_LPS	True	True	True	True	False	4	5	False
