guide_site_support_pattern	curated_functional_category	in_pattern_and_category	in_pattern_not_category	outside_pattern_in_category	outside_pattern_not_category	odds_ratio	p_value	universe	bh_adjusted_p
all_six_contexts	autophagy_lysosome	7	12	6	30	2.9166666666666665	0.10948473231896795	fixed_55_gene_therapeutic_panel	1.0
all_six_contexts	epigenetic_regulation	1	18	3	33	0.6111111111111112	1.0	fixed_55_gene_therapeutic_panel	1.0
all_six_contexts	inflammation	3	16	7	29	0.7767857142857143	1.0	fixed_55_gene_therapeutic_panel	1.0
all_six_contexts	lipid_metabolism	2	17	5	31	0.7294117647058823	1.0	fixed_55_gene_therapeutic_panel	1.0
all_six_contexts	microglial_identity	2	17	7	29	0.48739495798319327	0.4733533026588026	fixed_55_gene_therapeutic_panel	1.0
all_six_contexts	neuroprotection	2	17	4	32	0.9411764705882353	1.0	fixed_55_gene_therapeutic_panel	1.0
all_six_contexts	phagocytosis	2	17	4	32	0.9411764705882353	1.0	fixed_55_gene_therapeutic_panel	1.0
multi_study_support	autophagy_lysosome	4	11	9	31	1.2525252525252526	0.7342268048583481	fixed_55_gene_therapeutic_panel	1.0
multi_study_support	epigenetic_regulation	0	15	4	36	0.0	0.56546598056032	fixed_55_gene_therapeutic_panel	1.0
multi_study_support	inflammation	4	11	6	34	2.0606060606060606	0.43389482770384435	fixed_55_gene_therapeutic_panel	1.0
multi_study_support	lipid_metabolism	2	13	5	35	1.0769230769230769	1.0	fixed_55_gene_therapeutic_panel	1.0
multi_study_support	microglial_identity	2	13	7	33	0.7252747252747253	1.0	fixed_55_gene_therapeutic_panel	1.0
multi_study_support	neuroprotection	1	14	5	35	0.5	1.0	fixed_55_gene_therapeutic_panel	1.0
multi_study_support	phagocytosis	2	13	4	36	1.3846153846153846	0.659529815356674	fixed_55_gene_therapeutic_panel	1.0
no_surveyed_context	autophagy_lysosome	2	14	11	28	0.36363636363636365	0.30371379793906755	fixed_55_gene_therapeutic_panel	1.0
no_surveyed_context	epigenetic_regulation	3	13	1	38	8.76923076923077	0.0693729750333524	fixed_55_gene_therapeutic_panel	1.0
no_surveyed_context	inflammation	1	15	9	30	0.2222222222222222	0.25007996035870295	fixed_55_gene_therapeutic_panel	1.0
no_surveyed_context	lipid_metabolism	2	14	5	34	0.9714285714285714	1.0	fixed_55_gene_therapeutic_panel	1.0
no_surveyed_context	microglial_identity	5	11	4	35	3.977272727272727	0.10275585231355416	fixed_55_gene_therapeutic_panel	1.0
no_surveyed_context	neuroprotection	2	14	4	35	1.25	1.0	fixed_55_gene_therapeutic_panel	1.0
no_surveyed_context	phagocytosis	1	15	5	34	0.4533333333333333	0.6595298153566742	fixed_55_gene_therapeutic_panel	1.0
single_study_support	autophagy_lysosome	0	5	13	37	0.0	0.32431977936972384	fixed_55_gene_therapeutic_panel	1.0
single_study_support	epigenetic_regulation	0	5	4	46	0.0	1.0	fixed_55_gene_therapeutic_panel	1.0
single_study_support	inflammation	2	3	8	42	3.5	0.22049574546799847	fixed_55_gene_therapeutic_panel	1.0
single_study_support	lipid_metabolism	1	4	6	44	1.8333333333333333	0.5077833745980249	fixed_55_gene_therapeutic_panel	1.0
single_study_support	microglial_identity	0	5	9	41	0.0	0.5778195167762313	fixed_55_gene_therapeutic_panel	1.0
single_study_support	neuroprotection	1	4	5	45	2.25	0.45184966716598224	fixed_55_gene_therapeutic_panel	1.0
single_study_support	phagocytosis	1	4	5	45	2.25	0.45184966716598224	fixed_55_gene_therapeutic_panel	1.0
