run_accession	study	condition	replicate_type	biological_replicate	technical_replicate	layout	fastq_1	fastq_2	md5_1	md5_2	sample_accession	sample_title	scientific_name	library_strategy
SRR5617659	Gosselin_2017	homeostatic	biological	1		SE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR561/009/SRR5617659/SRR5617659.fastq.gz		4bb27ced61499d02d10ec8ebe9289503		SAMN07172465	Mouse_ATAC_ExVivo_Rep1	Mus musculus	OTHER
SRR5617660	Gosselin_2017	homeostatic	biological	2		SE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR561/000/SRR5617660/SRR5617660.fastq.gz		aaadde8f15f304ac1cf504feb4b1f8d2		SAMN07172464	Mouse_ATAC_ExVivo_Rep2	Mus musculus	OTHER
SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/044/SRR14667444/SRR14667444_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/044/SRR14667444/SRR14667444_2.fastq.gz	a1ee4f63d5e6c355fe172f7972849aa7	cb2ad1c247e99e93bcfce82ac8a8f49b	SAMN19355408	ATAC_PP	Mus musculus	ATAC-seq
SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/045/SRR14667445/SRR14667445_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/045/SRR14667445/SRR14667445_2.fastq.gz	9c9b4960e88993e0da37434081433b86	6d273719375363b4309322f02d292753	SAMN19355408	ATAC_PP	Mus musculus	ATAC-seq
SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/048/SRR14667448/SRR14667448_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/048/SRR14667448/SRR14667448_2.fastq.gz	5ad28b17fa00268a56a11be53fb05175	b6e5952329c38f5148eef43ce495fc8b	SAMN19355406	ATAC_PL	Mus musculus	ATAC-seq
SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/049/SRR14667449/SRR14667449_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/049/SRR14667449/SRR14667449_2.fastq.gz	9ee984afa5629b5731118fd6618b546e	85418feac71740435a9c091738b09895	SAMN19355406	ATAC_PL	Mus musculus	ATAC-seq
SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/050/SRR14667450/SRR14667450_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/050/SRR14667450/SRR14667450_2.fastq.gz	687aea59b823e13920d2f4aa998fed18	1c385bfb8583aa0a621f621216322f13	SAMN19355405	ATAC_LL	Mus musculus	ATAC-seq
SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/051/SRR14667451/SRR14667451_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/051/SRR14667451/SRR14667451_2.fastq.gz	5ef75d541793bc88b884f86e395c3087	07e83e0bafac214c343a85ade5768046	SAMN19355405	ATAC_LL	Mus musculus	ATAC-seq
SRR22516047	ZhangL_2024	sham_WT	biological	3		PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/047/SRR22516047/SRR22516047_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/047/SRR22516047/SRR22516047_2.fastq.gz	d3eaa368a6e92c3f5cb5e6e543647f2d	384ca95d281381497b8eac0642b85442	SAMN32025437	WT_Sham_rep3	Mus musculus	ATAC-seq
SRR22516048	ZhangL_2024	sham_WT	biological	2		PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/048/SRR22516048/SRR22516048_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/048/SRR22516048/SRR22516048_2.fastq.gz	496c7fe94a4fa815bda9a84cb71fbbf7	fb7fb9ef3a10bd9b54bea7313bfaaca9	SAMN32025438	WT_Sham_rep2	Mus musculus	ATAC-seq
SRR22516042	ZhangL_2024	stroke_WT	biological	3		PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/042/SRR22516042/SRR22516042_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/042/SRR22516042/SRR22516042_2.fastq.gz	8907293c1deba4fe1455a10e654bae47	8f7d65e453926dd03386ade6c73a4621	SAMN32025432	WT_tFCI_rep3	Mus musculus	ATAC-seq
SRR22516043	ZhangL_2024	stroke_WT	biological	2		PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/043/SRR22516043/SRR22516043_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/043/SRR22516043/SRR22516043_2.fastq.gz	e7ee36ac910e18ad26cf684a0013521c	9dd5282e51ea705f8e0b360c922bd06e	SAMN32025433	WT_tFCI_rep2	Mus musculus	ATAC-seq
SRR22516044	ZhangL_2024	stroke_WT	biological	1		PE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/044/SRR22516044/SRR22516044_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR225/044/SRR22516044/SRR22516044_2.fastq.gz	d7bc2b0d9c14b54b88af7842e4d0b272	de214d148e522786ad1a775dbe2929c1	SAMN32025434	WT_tFCI_rep1	Mus musculus	ATAC-seq
