level,run_accession,condition,study,replicate_type,biological_replicate,technical_replicate,layout,bowtie2_overall_alignment_rate_pct,fraction_mononucleosomal_150_300,fraction_subnucleosomal_lt150,frip,insertions_for_tss_profile,median_fragment_size,n_runs,picard_percent_duplication,primary_peak_count,primary_peak_rule,replicate_peak_count,tss_enrichment_max,usable_fragments_or_reads
run,SRR5617659,homeostatic,Gosselin_2017,biological,1,,SE,98.42,NA,NA,0.254383426055181,12970334,NA,,0.392545,,biological_replicate_consensus,54934,22.38821242197892,12970334
run,SRR5617660,homeostatic,Gosselin_2017,biological,2,,SE,92.19,NA,NA,0.34521747694897964,14691649,NA,,0.408394,,biological_replicate_consensus,70681,23.076923076923077,14691649
run,SRR14667444,PP_control,ZhangX_Kracht_2022,technical,1,1,PE,97.54,0.30498775553463425,0.5407450484495762,0.30122612759367906,30457026,128.0,,0.104775,,technical_runs_pooled_no_biological_reproducibility_claim,42149,31.39526994938873,15228513
run,SRR14667445,PP_control,ZhangX_Kracht_2022,technical,1,2,PE,97.46,0.30566877719389884,0.5398410473331132,0.30116024907360106,30627734,128.0,,0.105057,,technical_runs_pooled_no_biological_reproducibility_claim,42030,30.975384244308362,15313867
run,SRR14667448,PL_acute_LPS,ZhangX_Kracht_2022,technical,1,1,PE,96.68,0.31605380361541885,0.5439313648778181,0.2831587877996513,30327330,129.0,,0.079702,,technical_runs_pooled_no_biological_reproducibility_claim,41400,26.41504898130897,15163665
run,SRR14667449,PL_acute_LPS,ZhangX_Kracht_2022,technical,1,2,PE,96.61,0.3168892859148993,0.5428777931785941,0.2832341871642924,30513534,130.0,,0.080103,,technical_runs_pooled_no_biological_reproducibility_claim,41312,26.55771195097038,15256767
run,SRR14667450,LL_tolerized,ZhangX_Kracht_2022,technical,1,1,PE,98.11,0.33428565565749063,0.508345761721401,0.2871502681593594,29337406,146.0,,0.097096,,technical_runs_pooled_no_biological_reproducibility_claim,41528,25.657878419603662,14668703
run,SRR14667451,LL_tolerized,ZhangX_Kracht_2022,technical,1,2,PE,98.03,0.33454646039126834,0.5075660712198192,0.2873722670945731,29529196,146.0,,0.097621,,technical_runs_pooled_no_biological_reproducibility_claim,41370,25.732405640046796,14764598
run,SRR22516047,sham_WT,ZhangL_2024,biological,3,,PE,95.06,0.3372198774783855,0.4166382238605817,0.5741790149330032,26415584,185.0,,0.204225,,biological_replicate_consensus,54045,27.238665806227907,13207792
run,SRR22516048,sham_WT,ZhangL_2024,biological,2,,PE,94.59,0.28961651612265743,0.3639569553714309,0.6057618028271403,18135782,214.0,,0.170312,,biological_replicate_consensus,56962,22.455311360066464,9067891
run,SRR22516042,stroke_WT,ZhangL_2024,biological,3,,PE,93.16,0.2840013793911869,0.3978648060333371,0.46637066094919016,14673140,196.0,,0.222535,,biological_replicate_consensus,61560,20.290074888615035,7336570
run,SRR22516043,stroke_WT,ZhangL_2024,biological,2,,PE,93.43,0.28891611477034185,0.4021401229381063,0.4862860464345841,16601850,194.0,,0.243939,,biological_replicate_consensus,65116,22.086561271379043,8300925
run,SRR22516044,stroke_WT,ZhangL_2024,biological,1,,PE,92.51,0.25944077514789904,0.5202701985535132,0.465529795273991,12247882,137.0,,0.264203,,biological_replicate_consensus,64596,26.517352989817375,6123941
condition,,homeostatic,Gosselin_2017,biological,,,,,,,,,,2,,48189,support_in_at_least_2_biological_replicates_reciprocal_overlap_0.5,,,
condition,,PP_control,ZhangX_Kracht_2022,technical,,,,,,,,,,2,0.057369,41177,pooled_technical_runs_cross_run_deduplicated_no_biological_reproducibility_claim,,,
condition,,PL_acute_LPS,ZhangX_Kracht_2022,technical,,,,,,,,,,2,0.048787,40154,pooled_technical_runs_cross_run_deduplicated_no_biological_reproducibility_claim,,,
condition,,LL_tolerized,ZhangX_Kracht_2022,technical,,,,,,,,,,2,0.06585,40356,pooled_technical_runs_cross_run_deduplicated_no_biological_reproducibility_claim,,,
condition,,sham_WT,ZhangL_2024,biological,,,,,,,,,,2,,41266,support_in_at_least_2_biological_replicates_reciprocal_overlap_0.5,,,
condition,,stroke_WT,ZhangL_2024,biological,,,,,,,,,,3,,57001,support_in_at_least_2_biological_replicates_reciprocal_overlap_0.5,,,
