gene_symbol,category,guide_site_support_pattern,n_contexts_guide_targetable,n_studies_with_support,notes,guide_targetable_homeostatic,promoter_any_peak_overlap_homeostatic,promoter_midpoint_accessible_homeostatic,guide_targetable_PP_control,promoter_any_peak_overlap_PP_control,promoter_midpoint_accessible_PP_control,guide_targetable_PL_acute_LPS,promoter_any_peak_overlap_PL_acute_LPS,promoter_midpoint_accessible_PL_acute_LPS,guide_targetable_LL_tolerized,promoter_any_peak_overlap_LL_tolerized,promoter_midpoint_accessible_LL_tolerized,guide_targetable_sham_WT,promoter_any_peak_overlap_sham_WT,promoter_midpoint_accessible_sham_WT,guide_targetable_stroke_WT,promoter_any_peak_overlap_stroke_WT,promoter_midpoint_accessible_stroke_WT
Tfeb,autophagy_lysosome,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tfe3,autophagy_lysosome,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Lamp1,autophagy_lysosome,multi_study_support,5,3,"Guide-site support was observed in: homeostatic; PP_control; PL_acute_LPS; LL_tolerized; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
Lamp2,autophagy_lysosome,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Ctsd,autophagy_lysosome,multi_study_support,4,2,"Guide-site support was observed in: PP_control; PL_acute_LPS; LL_tolerized; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
Ctsb,autophagy_lysosome,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mcoln1,autophagy_lysosome,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Atp6v1h,autophagy_lysosome,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Sqstm1,autophagy_lysosome,multi_study_support,4,2,"Guide-site support was observed in: PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Becn1,autophagy_lysosome,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True
Map1lc3b,autophagy_lysosome,multi_study_support,2,2,"Guide-site support was observed in: PL_acute_LPS; sham_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True
Atg5,autophagy_lysosome,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Atg7,autophagy_lysosome,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Il10,inflammation,single_study_support,1,1,"Guide-site support was observed in: stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
Tgfb1,inflammation,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
