mouse_symbol	human_symbol	gene_id	transcript_id	tss	strand	cas	represented_systems	context	promoter_midpoint_accessible	promoter_any_peak_overlap	protospacers_total_passing	protospacers_fully_in_peak	protospacers_any_peak_overlap	targetable
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	False	True	3	0	0	False
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	True	True	3	1	2	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	True	True	3	3	3	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	True	True	3	3	3	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_rest	False	True	4	1	2	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_IFNb	True	True	4	3	3	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_rest	True	True	4	4	4	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_IFNb	True	True	4	4	4	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	SpCas9_NGG	SpCas9_CRISPRa	WTC11_rest	False	True	44	17	17	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	SpCas9_NGG	SpCas9_CRISPRa	WTC11_IFNb	True	True	44	32	33	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	SpCas9_NGG	SpCas9_CRISPRa	H1_rest	True	True	44	44	44	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	SpCas9_NGG	SpCas9_CRISPRa	H1_IFNb	True	True	44	44	44	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	CjCas9_NNNVRYM	MiniCAFE	WTC11_rest	False	True	24	6	9	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	CjCas9_NNNVRYM	MiniCAFE	WTC11_IFNb	True	True	24	20	22	True
