candidate_row	gene_symbol	nuclease_pam_class	rank	target_interval	run_accession	study	condition	replicate_type	biological_replicate	technical_replicate	guide_fully_in_replicate_peak	guide_any_replicate_peak_overlap	overlap_bp	replicate_peak_id	replicate_peak_signal	distance_to_summit
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR22516047	ZhangL_2024	sham_WT	biological	3		False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR22516048	ZhangL_2024	sham_WT	biological	2		False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR22516042	ZhangL_2024	stroke_WT	biological	3		False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR22516043	ZhangL_2024	stroke_WT	biological	2		False	False	0			NA
2	Tfeb	Un1Cas12f1_TTTR	1	chr17:48096430-48096454	SRR22516044	ZhangL_2024	stroke_WT	biological	1		False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR22516047	ZhangL_2024	sham_WT	biological	3		False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR22516048	ZhangL_2024	sham_WT	biological	2		False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR22516042	ZhangL_2024	stroke_WT	biological	3		False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR22516043	ZhangL_2024	stroke_WT	biological	2		False	False	0			NA
3	Tfeb	Un1Cas12f1_TTTR	2	chr17:48096403-48096427	SRR22516044	ZhangL_2024	stroke_WT	biological	1		False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR22516047	ZhangL_2024	sham_WT	biological	3		False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR22516048	ZhangL_2024	sham_WT	biological	2		False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR22516042	ZhangL_2024	stroke_WT	biological	3		False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR22516043	ZhangL_2024	stroke_WT	biological	2		False	False	0			NA
4	Tfeb	Un1Cas12f1_TTTR	3	chr17:48096282-48096306	SRR22516044	ZhangL_2024	stroke_WT	biological	1		False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR14667449	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	2	False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR14667450	ZhangX_Kracht_2022	LL_tolerized	technical	1	1	False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR14667451	ZhangX_Kracht_2022	LL_tolerized	technical	1	2	False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR22516047	ZhangL_2024	sham_WT	biological	3		False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR22516048	ZhangL_2024	sham_WT	biological	2		False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR22516042	ZhangL_2024	stroke_WT	biological	3		False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR22516043	ZhangL_2024	stroke_WT	biological	2		False	False	0			NA
5	Tfeb	Un1Cas12f1_TTTR	4	chr17:48096422-48096446	SRR22516044	ZhangL_2024	stroke_WT	biological	1		False	False	0			NA
6	Tfeb	Un1Cas12f1_TTTR	5	chr17:48096414-48096438	SRR5617659	Gosselin_2017	homeostatic	biological	1		False	False	0			NA
6	Tfeb	Un1Cas12f1_TTTR	5	chr17:48096414-48096438	SRR5617660	Gosselin_2017	homeostatic	biological	2		False	False	0			NA
6	Tfeb	Un1Cas12f1_TTTR	5	chr17:48096414-48096438	SRR14667444	ZhangX_Kracht_2022	PP_control	technical	1	1	False	False	0			NA
6	Tfeb	Un1Cas12f1_TTTR	5	chr17:48096414-48096438	SRR14667445	ZhangX_Kracht_2022	PP_control	technical	1	2	False	False	0			NA
6	Tfeb	Un1Cas12f1_TTTR	5	chr17:48096414-48096438	SRR14667448	ZhangX_Kracht_2022	PL_acute_LPS	technical	1	1	False	False	0			NA
