gene_symbol	gene_id	definition	selection_source	chrom	tss	strand	transcript_id	transcript_name	transcript_support_level	tags	n_annotated_transcripts
0610009B22Rik	ENSMUSG00000007777.10	ensembl_canonical	Ensembl_canonical	chr11	51579700	-	ENSMUST00000109098.2	0610009B22Rik-202	3	alternative_5_UTR;basic;Ensembl_canonical;appris_principal_1;CCDS	2
0610009B22Rik	ENSMUSG00000007777.10	appris_principal	APPRIS_principal	chr11	51579700	-	ENSMUST00000109098.2	0610009B22Rik-202	3	alternative_5_UTR;basic;Ensembl_canonical;appris_principal_1;CCDS	2
0610009B22Rik	ENSMUSG00000007777.10	legacy_most5_basic	legacy_most5_basic	chr11	51579700	-	ENSMUST00000109098.2	0610009B22Rik-202	3	alternative_5_UTR;basic;Ensembl_canonical;appris_principal_1;CCDS	2
0610010K14Rik	ENSMUSG00000020831.19	ensembl_canonical	Ensembl_canonical	chr11	70128629	-	ENSMUST00000108576.10	0610010K14Rik-206	2	basic;Ensembl_canonical;appris_principal_1;CCDS	14
0610010K14Rik	ENSMUSG00000020831.19	appris_principal	APPRIS_principal	chr11	70128629	-	ENSMUST00000108576.10	0610010K14Rik-206	2	basic;Ensembl_canonical;appris_principal_1;CCDS	14
0610010K14Rik	ENSMUSG00000020831.19	legacy_most5_basic	legacy_most5_basic	chr11	70128739	-	ENSMUST00000021181.13	0610010K14Rik-202	1	basic;CCDS	14
0610030E20Rik	ENSMUSG00000058706.6	ensembl_canonical	Ensembl_canonical	chr6	72324316	+	ENSMUST00000077783.5	0610030E20Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	4
0610030E20Rik	ENSMUSG00000058706.6	appris_principal	APPRIS_principal	chr6	72324316	+	ENSMUST00000077783.5	0610030E20Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	4
0610030E20Rik	ENSMUSG00000058706.6	legacy_most5_basic	legacy_most5_basic	chr6	72324316	+	ENSMUST00000077783.5	0610030E20Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	4
0610040J01Rik	ENSMUSG00000060512.8	ensembl_canonical	Ensembl_canonical	chr5	63969705	+	ENSMUST00000081747.8	0610040J01Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	4
0610040J01Rik	ENSMUSG00000060512.8	appris_principal	APPRIS_principal	chr5	63969705	+	ENSMUST00000081747.8	0610040J01Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	4
0610040J01Rik	ENSMUSG00000060512.8	legacy_most5_basic	legacy_most5_basic	chr5	63969705	+	ENSMUST00000081747.8	0610040J01Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	4
1110002E22Rik	ENSMUSG00000090066.3	ensembl_canonical	Ensembl_canonical	chr3	137770812	+	ENSMUST00000163080.3	1110002E22Rik-201	5	not_organism_supported;basic;Ensembl_canonical;appris_principal_1	2
1110002E22Rik	ENSMUSG00000090066.3	appris_principal	APPRIS_principal	chr3	137770812	+	ENSMUST00000163080.3	1110002E22Rik-201	5	not_organism_supported;basic;Ensembl_canonical;appris_principal_1	2
1110002E22Rik	ENSMUSG00000090066.3	legacy_most5_basic	legacy_most5_basic	chr3	137770812	+	ENSMUST00000163080.3	1110002E22Rik-201	5	not_organism_supported;basic;Ensembl_canonical;appris_principal_1	2
1110004F10Rik	ENSMUSG00000030663.13	ensembl_canonical	Ensembl_canonical	chr7	115692535	+	ENSMUST00000032899.12	1110004F10Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	6
1110004F10Rik	ENSMUSG00000030663.13	appris_principal	APPRIS_principal	chr7	115692535	+	ENSMUST00000032899.12	1110004F10Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	6
