mouse_symbol	human_symbol	mapping_status	mapping_note	chrom	promoter_start	promoter_end	strand	tss	gene_id	transcript_id	transcript_name	selection_rule	tags	n_transcripts_for_symbol
Abca1	ABCA1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr9	107690568	107690918	-	107690517	ENSG00000165029.11	ENST00000374736.3	ABCA1-002	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	3
Abcg1	ABCG1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr21	43638827	43639177	+	43639227	ENSG00000160179.14	ENST00000398449.3	ABCG1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	8
Apoe	APOE	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr19	45408610	45408960	+	45409010	ENSG00000130203.5	ENST00000252486.4	APOE-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Arg1	ARG1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr6	131893883	131894233	+	131894283	ENSG00000118520.9	ENST00000368087.3	ARG1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	2
Atg5	ATG5	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr6	106773716	106774066	-	106773665	ENSG00000057663.8	ENST00000369076.3	ATG5-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Atg7	ATG7	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr3	11313701	11314051	+	11314101	ENSG00000197548.8	ENST00000354449.3	ATG7-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	12
Atp6v1h	ATP6V1H	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr8	54755872	54756222	-	54755821	ENSG00000047249.12	ENST00000359530.2	ATP6V1H-002	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	6
Axl	AXL	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr19	41724707	41725057	+	41725107	ENSG00000167601.7	ENST00000301178.4	AXL-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_candidate_longest;CCDS	3
Bdnf	BDNF	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr11	27742376	27742726	-	27742325	ENSG00000176697.14	ENST00000525950.1	BDNF-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	17
Becn1	BECN1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr17	40976331	40976681	-	40976280	ENSG00000126581.8	ENST00000361523.4	BECN1-002	APPRIS_principal_then_CCDS_basic_TSL_length	alternative_5_UTR;basic;appris_principal;CCDS	12
