id	source_chrom	source_start	source_end	label	mapped_chrom	mapped_start	mapped_end	status
BL000001	chr10	0	3135400	High Signal Region				unmapped
BL000002	chr10	3218900	3276600	Low Mappability	chr10	3168900	3226600	mapped
BL000003	chr10	3576900	3627700	Low Mappability	chr10	3526900	3577700	mapped
BL000004	chr10	4191100	4197600	Low Mappability	chr10	4141100	4147600	mapped
BL000005	chr10	4613500	4615400	High Signal Region	chr10	4563500	4565400	mapped
BL000006	chr10	4761300	4763900	High Signal Region	chr10	4711300	4713900	mapped
BL000007	chr10	5080800	5096600	Low Mappability	chr10	5030800	5046600	mapped
BL000008	chr10	5580100	5586600	Low Mappability	chr10	5530100	5536600	mapped
BL000009	chr10	6281200	6286700	High Signal Region	chr10	6231200	6236700	mapped
BL000010	chr10	6740200	6742100	High Signal Region	chr10	6690200	6692100	mapped
BL000011	chr10	7396300	7429800	High Signal Region	chr10	7346300	7379800	mapped
BL000012	chr10	7633600	7636600	Low Mappability	chr10	7509364	7512364	mapped
BL000013	chr10	7889700	7897500	High Signal Region	chr10	7765464	7773264	mapped
BL000014	chr10	8144900	8153000	High Signal Region	chr10	8020664	8028764	mapped
BL000015	chr10	8264000	8269200	High Signal Region	chr10	8139764	8144964	mapped
BL000016	chr10	8382400	8404400	High Signal Region	chr10	8258164	8280164	mapped
BL000017	chr10	8599200	8606400	Low Mappability	chr10	8474964	8482164	mapped
BL000018	chr10	10012200	10033400	High Signal Region	chr10	9887944	9909144	mapped
BL000019	chr10	10566900	10593500	High Signal Region	chr10	10442644	10469244	mapped
BL000020	chr10	11218400	11224800	Low Mappability	chr10	11094144	11100544	mapped
BL000021	chr10	11351800	11406300	Low Mappability	chr10	11227544	11282044	mapped
BL000022	chr10	11491200	11493100	High Signal Region	chr10	11366944	11368844	mapped
BL000023	chr10	11612300	11642500	High Signal Region	chr10	11488044	11518244	mapped
BL000024	chr10	11692500	11701300	Low Mappability	chr10	11568244	11577044	mapped
BL000025	chr10	12266500	12273000	High Signal Region	chr10	12142244	12148744	mapped
BL000026	chr10	12385800	12396000	High Signal Region	chr10	12261544	12271744	mapped
BL000027	chr10	13401200	13403100	High Signal Region	chr10	13276944	13278844	mapped
BL000028	chr10	14559900	14577100	High Signal Region	chr10	14435644	14452844	mapped
BL000029	chr10	14646300	14664500	Low Mappability	chr10	14522044	14540244	mapped
BL000030	chr10	14923800	14928300	High Signal Region	chr10	14799544	14804044	mapped
BL000031	chr10	15047600	15083100	High Signal Region	chr10	14923344	14958848	mapped
BL000032	chr10	15528600	15534200	High Signal Region	chr10	15404348	15409948	mapped
BL000033	chr10	15567000	15641800	High Signal Region	chr10	15442748	15517548	mapped
BL000034	chr10	16967500	16971600	High Signal Region	chr10	16843248	16847348	mapped
BL000035	chr10	17499600	17501700	High Signal Region	chr10	17375348	17377448	mapped
BL000036	chr10	18555500	18558100	High Signal Region	chr10	18431248	18433848	mapped
BL000037	chr10	19427600	19429100	High Signal Region	chr10	19303348	19304848	mapped
BL000038	chr10	19538800	19546100	Low Mappability	chr10	19414548	19421848	mapped
BL000039	chr10	19772200	19801600	High Signal Region	chr10	19647948	19677348	mapped
BL000040	chr10	20458900	20460800	High Signal Region	chr10	20334646	20336546	mapped
BL000041	chr10	21208600	21216600	Low Mappability	chr10	21084499	21092499	mapped
BL000042	chr10	21278500	21313500	High Signal Region	chr10	21154399	21189399	mapped
