transcript_id	transcript_name	tss	chrom	promoter_start	promoter_end	tags	ccdsid	cas	passing_guides	n_supported_contexts	supported_contexts	promoter_overlap_context_count
ENST00000406563.2	TFEB-003	41658779	chr6	41658830	41659180	mRNA_start_NF;cds_start_NF		Un1Cas12f1_TTTR	3	0		0
ENST00000406563.2	TFEB-003	41658779	chr6	41658830	41659180	mRNA_start_NF;cds_start_NF		SaCas9_NNGRRT	3	0		0
ENST00000406563.2	TFEB-003	41658779	chr6	41658830	41659180	mRNA_start_NF;cds_start_NF		SpCas9_NGG	46	0		0
ENST00000406563.2	TFEB-003	41658779	chr6	41658830	41659180	mRNA_start_NF;cds_start_NF		CjCas9_NNNVRYM	45	0		0
ENST00000406563.2	TFEB-003	41658779	chr6	41658830	41659180	mRNA_start_NF;cds_start_NF		Nme2Cas9_NNNNCC	44	0		0
ENST00000343317.6	TFEB-015	41659213	chr6	41659264	41659614	not_organism_supported;mRNA_start_NF		Un1Cas12f1_TTTR	5	0		0
ENST00000343317.6	TFEB-015	41659213	chr6	41659264	41659614	not_organism_supported;mRNA_start_NF		SaCas9_NNGRRT	15	0		0
ENST00000343317.6	TFEB-015	41659213	chr6	41659264	41659614	not_organism_supported;mRNA_start_NF		SpCas9_NGG	67	0		0
ENST00000343317.6	TFEB-015	41659213	chr6	41659264	41659614	not_organism_supported;mRNA_start_NF		CjCas9_NNNVRYM	52	0		0
ENST00000343317.6	TFEB-015	41659213	chr6	41659264	41659614	not_organism_supported;mRNA_start_NF		Nme2Cas9_NNNNCC	64	0		0
ENST00000419574.1	TFEB-002	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		Un1Cas12f1_TTTR	0	0		8
ENST00000419574.1	TFEB-002	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		SaCas9_NNGRRT	3	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000419574.1	TFEB-002	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		SpCas9_NGG	73	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000419574.1	TFEB-002	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		CjCas9_NNNVRYM	38	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000419574.1	TFEB-002	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		Nme2Cas9_NNNNCC	58	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445214.1	TFEB-009	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		Un1Cas12f1_TTTR	0	0		8
ENST00000445214.1	TFEB-009	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		SaCas9_NNGRRT	3	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445214.1	TFEB-009	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		SpCas9_NGG	73	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445214.1	TFEB-009	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		CjCas9_NNNVRYM	38	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445214.1	TFEB-009	41673677	chr6	41673728	41674078	mRNA_end_NF;cds_end_NF		Nme2Cas9_NNNNCC	58	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000416140.1	TFEB-008	41691463	chr6	41691514	41691864	mRNA_end_NF;cds_end_NF		Un1Cas12f1_TTTR	0	0		8
ENST00000416140.1	TFEB-008	41691463	chr6	41691514	41691864	mRNA_end_NF;cds_end_NF		SaCas9_NNGRRT	8	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000416140.1	TFEB-008	41691463	chr6	41691514	41691864	mRNA_end_NF;cds_end_NF		SpCas9_NGG	74	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000416140.1	TFEB-008	41691463	chr6	41691514	41691864	mRNA_end_NF;cds_end_NF		CjCas9_NNNVRYM	57	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000416140.1	TFEB-008	41691463	chr6	41691514	41691864	mRNA_end_NF;cds_end_NF		Nme2Cas9_NNNNCC	55	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000424495.1	TFEB-014	41701427	chr6	41701478	41701828	mRNA_end_NF;cds_end_NF		Un1Cas12f1_TTTR	0	0		8
ENST00000424495.1	TFEB-014	41701427	chr6	41701478	41701828	mRNA_end_NF;cds_end_NF		SaCas9_NNGRRT	7	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000424495.1	TFEB-014	41701427	chr6	41701478	41701828	mRNA_end_NF;cds_end_NF		SpCas9_NGG	65	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000424495.1	TFEB-014	41701427	chr6	41701478	41701828	mRNA_end_NF;cds_end_NF		CjCas9_NNNVRYM	39	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000424495.1	TFEB-014	41701427	chr6	41701478	41701828	mRNA_end_NF;cds_end_NF		Nme2Cas9_NNNNCC	44	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445700.1	TFEB-013	41701565	chr6	41701616	41701966	mRNA_end_NF;cds_end_NF		Un1Cas12f1_TTTR	1	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445700.1	TFEB-013	41701565	chr6	41701616	41701966	mRNA_end_NF;cds_end_NF		SaCas9_NNGRRT	7	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445700.1	TFEB-013	41701565	chr6	41701616	41701966	mRNA_end_NF;cds_end_NF		SpCas9_NGG	58	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445700.1	TFEB-013	41701565	chr6	41701616	41701966	mRNA_end_NF;cds_end_NF		CjCas9_NNNVRYM	25	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000445700.1	TFEB-013	41701565	chr6	41701616	41701966	mRNA_end_NF;cds_end_NF		Nme2Cas9_NNNNCC	39	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000394283.1	TFEB-004	41701590	chr6	41701641	41701991	basic		Un1Cas12f1_TTTR	1	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000394283.1	TFEB-004	41701590	chr6	41701641	41701991	basic		SaCas9_NNGRRT	6	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000394283.1	TFEB-004	41701590	chr6	41701641	41701991	basic		SpCas9_NGG	49	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000394283.1	TFEB-004	41701590	chr6	41701641	41701991	basic		CjCas9_NNNVRYM	21	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000394283.1	TFEB-004	41701590	chr6	41701641	41701991	basic		Nme2Cas9_NNNNCC	37	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000433032.1	TFEB-012	41701931	chr6	41701982	41702332	mRNA_end_NF;cds_end_NF		Un1Cas12f1_TTTR	0	0		8
ENST00000433032.1	TFEB-012	41701931	chr6	41701982	41702332	mRNA_end_NF;cds_end_NF		SaCas9_NNGRRT	0	0		8
ENST00000433032.1	TFEB-012	41701931	chr6	41701982	41702332	mRNA_end_NF;cds_end_NF		SpCas9_NGG	23	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000433032.1	TFEB-012	41701931	chr6	41701982	41702332	mRNA_end_NF;cds_end_NF		CjCas9_NNNVRYM	5	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000433032.1	TFEB-012	41701931	chr6	41701982	41702332	mRNA_end_NF;cds_end_NF		Nme2Cas9_NNNNCC	8	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000419396.1	TFEB-006	41702138	chr6	41702189	41702539	mRNA_end_NF;cds_end_NF		Un1Cas12f1_TTTR	0	0		8
ENST00000419396.1	TFEB-006	41702138	chr6	41702189	41702539	mRNA_end_NF;cds_end_NF		SaCas9_NNGRRT	2	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;100K2_rep4	8
ENST00000419396.1	TFEB-006	41702138	chr6	41702189	41702539	mRNA_end_NF;cds_end_NF		SpCas9_NGG	35	7	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K2_rep4	8
ENST00000419396.1	TFEB-006	41702138	chr6	41702189	41702539	mRNA_end_NF;cds_end_NF		CjCas9_NNNVRYM	15	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
