mouse_symbol	human_symbol	interval	expected_length	observed_length	status
Abca1	ABCA1	chr9:107690568-107690918	350	350	ok
Abcg1	ABCG1	chr21:43638827-43639177	350	350	ok
Apoe	APOE	chr19:45408610-45408960	350	350	ok
Arg1	ARG1	chr6:131893883-131894233	350	350	ok
Atg5	ATG5	chr6:106773716-106774066	350	350	ok
Atg7	ATG7	chr3:11313701-11314051	350	350	ok
Atp6v1h	ATP6V1H	chr8:54755872-54756222	350	350	ok
Axl	AXL	chr19:41724707-41725057	350	350	ok
Bdnf	BDNF	chr11:27742376-27742726	350	350	ok
Becn1	BECN1	chr17:40976331-40976681	350	350	ok
Cd36	CD36	chr7:79998490-79998840	350	350	ok
Csf1	CSF1	chr1:110452854-110453204	350	350	ok
Csf1r	CSF1R	chr5:149492985-149493335	350	350	ok
Ctsb	CTSB	chr8:11725788-11726138	350	350	ok
Ctsd	CTSD	chr11:1785272-1785622	350	350	ok
Cx3cr1	CX3CR1	chr3:39322814-39323164	350	350	ok
Dnmt3a	DNMT3A	chr2:25475230-25475580	350	350	ok
Gdnf	GDNF	chr5:37839832-37840182	350	350	ok
Grn	GRN	chr17:42422247-42422597	350	350	ok
Hdac1	HDAC1	chr1:32757286-32757636	350	350	ok
Hdac2	HDAC2	chr6:114292499-114292849	350	350	ok
Hexb	HEXB	chr5:73980568-73980918	350	350	ok
Igf1	IGF1	chr12:102874473-102874823	350	350	ok
Il10	IL10	chr1:206945889-206946239	350	350	ok
Il1b	IL1B	chr2:113594530-113594880	350	350	ok
Il1rn	IL1RN	chr2:113884737-113885087	350	350	ok
Il4ra	IL4R	chr16:27324833-27325183	350	350	ok
Irf8	IRF8	chr16:85932008-85932358	350	350	ok
Lamp1	LAMP1	chr13:113951155-113951505	350	350	ok
Lamp2	LAMP2	chrX:119603270-119603620	350	350	ok
Lipa	LIPA	chr10:91011865-91012215	350	350	ok
Lpl	LPL	chr8:19796081-19796431	350	350	ok
Map1lc3b	MAP1LC3B	chr16:87425005-87425355	350	350	ok
Mcoln1	MCOLN1	chr19:7587111-7587461	350	350	ok
Megf10	MEGF10	chr5:126626122-126626472	350	350	ok
Mertk	MERTK	chr2:112655655-112656005	350	350	ok
Mrc1	MRC1	chr10:18097951-18098301	350	350	ok
Nfkb1	NFKB1	chr4:103422085-103422435	350	350	ok
Nr1h3	NR1H3	chr11:47279129-47279479	350	350	ok
P2ry12	P2RY12	chr3:151102650-151103000	350	350	ok
Pparg	PPARG	chr3:12328466-12328816	350	350	ok
Sall1	SALL1	chr16:51185236-51185586	350	350	ok
Spi1	SPI1	chr11:47400177-47400527	350	350	ok
Sqstm1	SQSTM1	chr5:179247358-179247708	350	350	ok
Tet2	TET2	chr4:106067049-106067399	350	350	ok
Tfe3	TFE3	chrX:48901062-48901412	350	350	ok
Tfeb	TFEB	chr6:41704047-41704397	350	350	ok
Tgfb1	TGFB1	chr19:41859866-41860216	350	350	ok
Tmem119	TMEM119	chr12:108991950-108992300	350	350	ok
Tnf	TNF	chr6:31542943-31543293	350	350	ok
Trem2	TREM2	chr6:41130964-41131314	350	350	ok
Tyrobp	TYROBP	chr19:36399247-36399597	350	350	ok
Vegfa	VEGFA	chr6:43737549-43737899	350	350	ok
